Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Australia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;1;2;2;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;1;0;0;0;1;0;2;1;3;4;8;11;7;4;11;6;20;12;14;30;41;52;49;77;79;111;144;165;224;611;114;600;376;367;212;431;284;464;150;269;248;324;139;57;100;112;96;100;86;51;33;44;50;42;39;36;53;26;13;22;7;13;20;16;10;12;13;8;16;5;16;18;24;24;26;21;18;15;12;7;16;11;14;30;17;9;15;8;11;2;14;11;3;9;15;6;11;23;12;10;9;17;8;11;11;4;5;5;2;9;9;5;12;18;15;12;23;21;18;27;25;13;18;29;37;37;46;45;81;67;86;81;254;107;87;137;169;131;173;300;194;244;183;271;244;315;425;206;361;267;359;468;410;289;355;453;532;369;278;721;602;377;641;395;411;715;418;410;426;386;313;316;414;231;385;292;253;311;174;220;243;171;195;210;104;137;152;117;126;99;123;76;73;104;126;87;71;72;43;52;91;48;52;42;44;41;46;41;34;48;24;13;14;30;31;10;17;16;24;4;19;0;33;17;8;15;13;25;8;24;23;15;20;22;31;24;21;9;12;7;9;31;14;22;18;15;21;7;14;13;15;13;8;5;7;8;12;11;12;7;6;10;10;8;0
Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;2;3;4;4;6;5;12;33;25;3;29;51;64;115;143;151;205;156;316;314;550;453;375;607;855;796;606;1141;668;594;522;805;564;529;418;396;241;217;314;343;329;279;312;247;130;106;191;136;78;155;59;48;73;50;91;61;83;66;55;67;58;50;60;34;12;68;31;17;65;22;62;42;10;87;36;54;41;63;72;14;25;78;18;57;29;46;32;20;38;18;28;51;44;4;21;11;31;36;62;19;46;21;13;34;28;30;20;24;27;33;17;40;30;62;38;35;31;33;47;67;64;63;41;111;37;138;121;123;73;57;89;101;97;74;108;52;12;201;55;153;138;102;63;108;139;140;164;107;120;137;64;132;164;163;89;126;85;32;131;103;114;130;116;76;111;138;241;229;221;260;162;344;158;425;308;275;216;140;308;291;316;227;382;174;281;186;337;442;312;271;208;220;511;495;754;497;1005;495;384;549;860;704;922;821;757;609;593;747;661;688;1071;623;526;419;722;1146;564;872;830;599;1268;549;947;1221;1181;901;1298;608;1171;1606;1396;1691;2040;1062;1054;1803;2355;2570;3442;2989;2766;2512;2698;4149;4305;5243;5141;4526;3160;4445;6514;7051;6324;7898;6006;5704;3839;9643;0
Azerbaijan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3;3;0;0;0;2;2;0;0;6;0;0;9;6;10;0;9;12;7;15;6;29;43;17;27;64;25;61;41;43;78;63;57;76;105;104;65;67;40;50;49;56;30;57;33;25;38;44;38;30;44;25;28;33;39;49;38;50;40;38;52;76;67;77;75;143;97;70;104;65;121;101;158;136;13;231;113;118;106;127;140;149;132;165;191;230;257;248;168;273;325;262;338;379;314;323;315;339;352;336;352;387;367;338;329;338;438;471;491;478;508;590;547;517;521;534;544;556;588;572;583;534;523;513;537;542;548;526;531;520;529;543;559;493;471;497;388;369;352;391;347;332;321;417;396;412;363;339;318;279;286;241;226;193;144;129;105;87;79;84;93;91;103;89;112;124;131;146;139;162;184;169;152;133;148;137;142;188;135;126;143;154;167;132;161;137;89;139;175;142;163;135;155;76;114;141;119;117;148;146;92;98;146;162;101;108;128;38;58;110;80;144;108;130;97;143;182;191;215;233;230;122;277;369;530;509;528;647;331;584;714;825;803;792;946;527;663;988;1015;1022;1095;1175;596;1242;1227;1364;0;2875;1663;635;1346;1202;0
Bahamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;1;4;0;2;3;0;1;6;3;0;4;1;4;3;4;1;1;4;1;2;0;4;1;1;3;2;4;1;5;2;1;5;2;0;0;0;1;1;1;0;0;6;3;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;0;2;3;3;5;5;9;15;21;20;25;55;42;10;16;40;65;37;24;66;25;49;31;36;36;10;69;48;20;47;44;47;53;30;133;63;14;95;107;79;93;62;0;33;15;0;110;134;78;32;50;59;61;49;0;90;70;39;72;64;0;93;114;0;80;24;55;90;37;101;55;48;49;151;81;91;0;0;48;65;220;97;0;189;0;150;0;154;0;242;68;55;85;0;222;0;132;111;75;70;150;128;84;133;84;58;56;36;47;95;0;70;0;21;55;53;39;0;65;0;37;0;76;0
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;21;10;0;5;3;6;0;2;3;0;4;7;16;30;1;52;0;48;1;3;7;16;19;13;16;21;28;5;51;29;39;8;7;27;15;52;2;74;0;45;12;56;55;12;64;111;42;96;225;167;145;27;44;29;100;34;66;34;210;301;71;58;76;88;110;119;130;114;99;150;187;214;265;245;330;167;295;295;285;382;385;164;209;228;348;356;286;240;388;336;33;195;267;419;397;344;605;406;507;504;481;539;548;380;654;783;467;0;1046;514;317;469;540;408;469;486;415;433;643;655;508;511;724;462;438;534;519;656;423;573;447;510;454;500;610;597;511;431;471;535;602;482;524;389;531;418;514;380;321;359;462;289;384;351;439;390;444;227;208;346;299;297;382;375;418;322;382;386;407;460;462;326;378;0;755;0;0;765;353;735;0;292;746;317;363;357;278;183;0;398;468;367;626;662;676;1305;0;702;672;757;632;747;721;658;678;841;705;690;620;540;713;650;612;687;489;585;1073;574;442;510;429;507;352;454;360;456;490;438;427;0;661;324;349;333;371;246;331;322;309;374;304;363;401;280;278;0;489;240;204;179;278;210;230;261;162;237;241;192;176;179;231;0
Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;3;2;0;7;7;3;6;6;0;9;0;0;1;0;2;3;2;5;9;18;35;41;54;112;94;58;139;182;209;219;341;266;306;312;492;434;390;414;503;309;418;497;549;641;564;571;552;665;688;786;790;706;709;636;887;1034;969;1162;1041;1202;930;1273;1602;1251;1617;1773;1694;1873;1532;1975;1166;1541;2029;2523;1764;2545;2381;2911;2695;2423;2828;2635;2743;2735;3171;3190;3187;3471;2856;3141;3099;3862;4008;3803;3243;3240;3531;3480;3412;3462;3946;3868;3504;3809;4014;3682;3775;4019;3114;3288;2738;3201;3027;3489;3360;2949;2686;2666;3099;3163;3533;2733;3034;2709;2459;2928;3057;2744;2856;2548;2520;2275;2772;2960;3009;2695;2772;2199;886;1356;1918;2654;2977;2851;2611;2487;2907;2996;2995;2617;2766;2644;2024;2595;3200;2747;2868;2401;2265;1973;2485;2545;2519;2436;2211;2131;1897;2174;1950;2582;2158;1929;1950;1592;2202;1892;1827;1892;1792;1282;1476;1812;1724;1615;1593;1541;1567;1544;1705;1557;1666;1540;1383;1106;1275;1407;1488;1436;1508;1396;1182;1125;1442;1499;1520;1441;1278;1203;1193;1472;1537;1684;1600;1527;1209;1274;1637;1383;1542;1696;1586;1094;1308;1436;1335;1493;1681;1604;1320;1568;1736;1659;1517;1842;1469;1289;1474;1683;1699;1733;0
Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;8;3;0;1;0;6;0;2;7;1;0;11;0;0;6;5;4;3;0;3;1;1;3;1;1;2;0;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;1;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;0;12;10;0;0;1;0;5;0;4;1;0;0;1;4;2;1;1;1;2;1;1;1;3;0;3;1;0;1;4;3;1;2;0;1;1;0;1;0;1;0;0;0;0;1;2;1;1;0;0;0;4;0;0;0;0;1;0;0;0;0;0;3;0;3;3;1;0;3;0;1;2;2;0;2;5;3;1;0;3;0;0;0;2;3;0;0;6;0;1;0;2;1;0;1;0;1;0;3;0;0;1;0;6;0
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;3;3;9;0;0;6;9;0;10;11;0;19;0;5;0;5;0;8;0;0;11;47;0;102;97;43;170;136;161;205;420;495;245;352;341;362;447;476;575;518;510;457;459;558;741;751;817;873;826;919;973;846;890;911;877;784;861;905;913;933;951;921;933;967;952;947;958;951;969;922;936;918;945;932;941;954;946;915;897;902;906;894;898;847;852;861;865;887;883;879;823;812;801;750;704;721;732;707;689;663;625;676;603;569;518;464;458;437;331;382;380;315;328;306;274;299;273;284;250;199;221;187;193;163;165;182;155;174;180;159;171;142;118;135;173;167;158;156;130;119;115;152;147;143;138;121;99;84;126;127;111;124;112;97;58;97;101;105;116;92;73;84;128;149;161;174;183;177;82;247;191;181;177;164;156;119;179;161;183;178;196;172;177;194;189;193;191;198;187;192;211;224;243;231;213;224;206;253;294;306;332;320;337;314;371;388;402;431;443;401;394;415;477;489;0;1063;464;526;597;613;658;0;1306;592;619;733;738;787;811;845;884;902;936;984;970;983;977;941;929;984;982;991;997;996;983;1038;1057;0
Belgium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;19;34;53;81;110;27;64;94;99;174;250;338;179;214;387;422;534;713;662;469;486;1328;1195;1199;1363;1518;844;683;1738;1681;1516;1478;1694;922;665;1934;1515;1598;2239;2336;1029;524;537;1560;1633;1675;1394;722;443;1276;1270;777;976;811;388;205;755;569;522;586;237;286;140;670;547;552;442;483;240;118;476;395;321;305;346;147;81;317;292;385;70;248;123;75;314;202;182;171;165;61;49;59;181;159;172;154;69;53;152;145;119;95;89;49;22;147;99;123;108;121;50;20;143;110;100;76;113;41;24;127;100;135;93;94;64;24;112;99;137;124;127;62;43;224;207;260;226;274;130;64;443;145;553;439;496;229;184;595;685;703;635;684;309;148;794;814;769;769;771;304;122;873;718;609;669;587;163;132;707;725;612;581;510;203;115;607;527;526;535;614;195;117;634;565;574;677;728;322;155;918;871;1024;1143;1284;617;301;1726;1628;1942;1751;1709;894;461;2202;2074;2096;1796;1622;944;540;2782;2984;3243;3410;3720;1709;1035;5248;5687;6803;6587;7786;4309;2403;9733;12575;12290;11813;13475;7993;4289;15559;19260;17481;17685;18875;11554;4893;19858;22184;17986;15079;15390;6307;2665;13845;12036;9157;7628;6597;3025;1444;8252;6247;809;0
Belize;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;2;0;1;1;1;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;4;0;0;2;0;0;0;0;0;3;4;0;0;0;2;0;1;0;0;0;2;1;0;4;1;0;0;0;0;0;0;0;8;1;0;15;14;28;32;7;1;23;33;86;60;32;64;0;23;78;0;52;43;20;18;27;17;30;58;52;94;30;13;43;51;17;34;42;67;46;54;4;34;36;23;22;21;27;8;31;23;16;21;8;34;37;52;50;17;29;37;52;49;34;54;51;65;8;39;67;63;0;54;0;142;16;34;63;46;47;38;20;53;51;58;55;56;39;55;32;29;121;80;0;0;162;166;115;72;39;60;100;54;184;106;0
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;1;0;0;0;0;2;5;0;3;0;6;4;0;0;4;5;0;0;0;0;0;2;0;0;0;17;0;0;4;0;0;6;0;0;5;15;6;0;0;6;0;6;38;102;42;35;0;8;0;12;0;0;0;0;-209;0;5;0;0;56;0;17;2;0;14;8;0;11;1;0;17;0;7;0;37;0;0;0;83;24;58;13;49;40;25;53;0;115;42;43;52;115;36;71;25;38;12;0;0;0;0;0;0;0;86;0;0;93;0;0;0;0;85;139;0;0;0;0;0;92;0;0;76;0;0;0;0;35;0;0;0;109;0;22;0;0;0;0;65;0;0;0;62;0;0;0;0;32;0;20;0;0;0;30;0;0;0;0;0;0;49;0;0;19;0;0;0;29;0;0;0;25;0;0;13;0;0;0;0;14;0;31;0;0;0;15;0;0;17;0;0;0;0;0;0;54;0;0;0;0;0;0;67;18;0;0;0;0;0;61;0;0;0;0;0;0;86;0;0;0;0;40;0;62;0;0;0;0;0;36;63;0
Bermuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;9;2;5;0;5;5;0;3;0;2;0;2;0;0;9;0;2;7;0;0;24;2;0;3;0;0;12;1;0;0;0;10;1;0;1;3;0;0;1;0;0;3;0;0;0;0;1;2;0;1;1;0;0;2;0;0;0;3;5;0;0;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;3;0;4;0;0;0;1;0;0;1;0;0;0;0;1;0;3;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;3;0;0;2;1;0;2;1;0;4;1;0;0;7;0;0;1;2;0;0;5;0;1;0
Bhutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;5;1;0;0;0;0;0;0;3;0;3;0;0;1;3;2;10;0;4;0;0;1;0;0;11;0;0;3;0;0;4;0;1;0;0;0;1;0;0;1;1;0;0;5;1;0;1;0;0;0;1;0;2;0;0;0;0;2;0;2;0;0;0;2;1;0;2;1;2;0;0;0;1;2;4;0;2;0;0;1;1;0;2;0;3;0;0;2;3;0;15;3;2;0;8;5;1;3;3;0;2;0;1;17;10;1;11;0;29;1;2;0;0;1;0;2;3;1;0;4;3;3;1;1;0;0;6;6;1;2;0;0;0;2;0;8;2;7;1;1;0;1;0;15;1;1;4;0;2;0;3;0;4;3;0;0;9;2;3;1;1;4;0;4;2;0;3;1;0;2;1;5;2;2;0;0;0;1;0;5;0;0;0
Bolivia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;0;0;1;1;0;3;4;1;7;1;4;7;22;13;7;15;11;8;8;9;7;18;26;11;16;54;4;8;24;30;24;43;44;24;28;27;44;34;11;63;31;104;59;84;64;39;57;57;62;241;124;87;121;84;195;185;171;119;275;133;184;224;205;249;262;175;218;438;268;392;336;348;397;476;632;619;344;861;390;549;460;647;607;483;630;285;306;695;637;884;764;913;617;614;810;802;814;977;1036;876;1105;896;1098;1016;920;1253;848;601;1094;1008;1301;1290;1253;1226;1212;1036;1439;1129;1452;1635;987;1063;1617;1351;1938;1946;2036;1444;1409;1366;1778;1117;1204;1825;1148;2382;516;1207;1700;1555;2004;1360;1693;1515;1780;1282;1468;1164;944;1636;1693;1743;0;1388;2687;1198;879;1796;2031;1015;1370;992;722;999;851;1095;1035;1280;945;614;630;669;661;0;1652;661;528;835;704;1037;860;967;810;809;828;667;586;547;632;419;206;310;467;537;628;604;370;309;407;333;670;405;503;350;299;239;361;238;263;257;237;111;121;227;219;178;243;148;61;119;147;191;217;167;167;74;99;172;197;163;147;126;76;34;69;126;139;142;84;48;86;103;112;0
Bonaire, Saint Eustatius and Saba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;1;4;2;0;0;0;1;1;1;4;4;0;0;0;20;8;5;9;7;0;0;21;0;0;0;18;0;0;0;17;4;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bosnia_and_Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;15;3;9;5;9;18;30;33;6;33;9;40;20;24;66;30;60;51;68;54;46;31;32;86;35;59;26;47;59;21;45;27;52;58;44;15;31;40;27;46;7;65;31;48;24;101;68;25;58;17;69;20;40;41;43;22;25;25;16;23;35;21;30;22;14;16;15;18;20;19;9;5;10;19;28;22;9;16;14;11;16;43;12;31;37;30;24;49;55;61;48;61;38;45;60;58;86;66;77;93;63;88;119;140;173;108;128;110;153;182;172;289;144;64;161;250;219;315;318;164;95;197;231;274;227;256;288;139;195;330;344;2;302;305;429;268;0;678;0;431;233;188;562;288;251;290;402;236;173;210;253;223;350;1;0;500;316;340;338;363;0;508;127;297;285;311;294;0;575;175;270;283;287;338;0;0;518;301;297;286;290;300;328;168;294;282;394;292;320;212;92;221;344;235;248;231;122;80;225;243;280;0;226;4;474;261;365;453;387;428;302;189;339;479;578;618;713;559;545;726;928;1003;1178;1258;1136;722;1558;1584;1910;1485;1937;1415;764;1553;1776;1908;1921;1785;1211;996;1605;1541;0
Botswana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;1;6;0;0;0;0;0;0;2;0;0;5;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4;0;1;0;5;0;0;0;0;0;0;3;0;0;2;0;0;0;0;2;0;6;0;12;0;0;0;0;0;19;10;0;0;0;0;0;0;36;0;0;50;52;0;0;48;0;0;0;39;0;0;0;0;85;0;0;0;123;0;0;0;0;0;0;164;0;0;0;53;0;65;0;0;0;0;0;0;0;105;0;0;0;157;0;0;148;0;0;0;94;0;0;0;0;0;0;254;0;71;0;0;0;0;91;0;0;0;278;0;0;124;0;0;126;0;0;0;211;0;0;104;0;0;0;0;0;0;354;0;0;0;251;0;0;0;0;0;0;0;0;0;1348;0;0;0;313;206;0;203;0;0;0;367;0;0;314;0;0;0;360;0;0;359;0;0;0;0;0;0;1193;0;0;0;0;0;0;0
